Crédito,Status da conta corrente existente,Duração em meses,Histórico de crédito,Finalidade,Valor do crédito,Conta de poupança/títulos,Tempo de emprego atual,Taxa de prestação em porcentagem da renda disponível,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Propriedade,Idade em anos,Outros planos de parcelamento,Habitação,Número de créditos existentes neste banco,Ocupação,Número de pessoas a quem deve prestar sustento,Telefone,Trabalhador estrangeiro
Bom,estavel,9,Em dia,Rádio/televisão,1126,Baixo,7-+,2,Homem - divorciado/separado,none,4,Imóvel,49,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,24,Crítico,Rádio/televisão,1216,Baixo,Menos de 1,4,Homem - solteiro,none,4,Desconhecido/nenhum,38,bank,Dono,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,24,Em dia,Carro novo,1207,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,24,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,10,Em dia,Carro novo,1309,none,good-to-4,4,Homem - solteiro,Fiador,4,Acordo de poupança/seguro de vida,27,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,15,Crítico,Carro usado,2360,Medio,good-to-4,2,Homem - solteiro,none,2,Carro/outro,36,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,15,Pagamento pelo banco,Carro novo,6850,Baixo,Desempregado,1,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,34,none,Dono,1,Alta qualificação,2,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,1413,Minimo,good-to-4,4,Homem - casado/viúvo,none,2,Acordo de poupança/seguro de vida,28,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,39,Em dia,Carro usado,8588,Baixo,7-+,4,Homem - solteiro,none,2,Carro/outro,45,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,12,Em dia,Carro novo,759,Minimo,4-to-7,4,Homem - solteiro,none,2,Imóvel,26,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,36,Em dia,Carro usado,4686,Minimo,good-to-4,2,Homem - solteiro,none,2,Desconhecido/nenhum,32,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,estavel,15,Em dia,Negócios,2687,Minimo,4-to-7,2,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,26,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,12,Atraso passado,Rádio/televisão,585,Minimo,good-to-4,4,Homem - casado/viúvo,Co-requerente,4,Imóvel,20,none,Aluguel,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Em dia,Carro novo,2255,none,Menos de 1,4,Homem - solteiro,none,1,Acordo de poupança/seguro de vida,54,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,6,Crítico,Carro novo,609,Minimo,4-to-7,4,Mulher - divorciada/separada/casada,none,3,Acordo de poupança/seguro de vida,37,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Local
Bom,negativo,6,Crítico,Carro novo,1361,Minimo,Menos de 1,2,Homem - solteiro,none,4,Imóvel,40,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Local
Ruim,none,36,Crítico,Móveis/equipamentos,7127,Minimo,Menos de 1,2,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,23,none,Aluguel,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,6,Em dia,Carro novo,1203,Baixo,7-+,3,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,43,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,6,Crítico,Rádio/televisão,700,none,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,36,none,for-free,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Crítico,Reparos,5507,Minimo,7-+,3,Homem - solteiro,none,4,Desconhecido/nenhum,44,none,for-free,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,18,Em dia,Rádio/televisão,3190,Minimo,good-to-4,2,Mulher - divorciada/separada/casada,none,2,Imóvel,24,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,48,Totalmente pago,Móveis/equipamentos,7119,Minimo,good-to-4,3,Homem - solteiro,none,4,Desconhecido/nenhum,53,none,for-free,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Em dia,Carro usado,3488,Baixo,4-to-7,3,Mulher - divorciada/separada/casada,none,4,Carro/outro,23,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Rádio/televisão,1113,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,Fiador,4,Imóvel,26,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,26,Em dia,Carro usado,7966,Minimo,Menos de 1,2,Homem - solteiro,none,3,Carro/outro,30,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,15,Crítico,Educação,1532,Baixo,good-to-4,4,Mulher - divorciada/separada/casada,none,3,Carro/outro,31,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,4,Crítico,Rádio/televisão,1503,Minimo,4-to-7,2,Homem - solteiro,none,1,Imóvel,42,none,Dono,2,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,36,Em dia,Rádio/televisão,2302,Minimo,good-to-4,4,Homem - divorciado/separado,none,4,Carro/outro,31,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,6,Em dia,Carro novo,662,Minimo,Menos de 1,3,Homem - solteiro,none,4,Imóvel,41,none,Dono,1,Residente não qualificado,2,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,36,Em dia,Educação,2273,Minimo,4-to-7,3,Homem - solteiro,none,1,Carro/outro,32,none,Dono,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,15,Em dia,Carro novo,2631,Baixo,good-to-4,2,Mulher - divorciada/separada/casada,none,4,Carro/outro,28,none,Aluguel,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Atraso passado,Carro usado,1503,Minimo,good-to-4,4,Homem - casado/viúvo,none,4,Imóvel,41,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,1311,Baixo,4-to-7,4,Homem - casado/viúvo,none,3,Acordo de poupança/seguro de vida,26,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,3105,none,Menos de 1,4,Homem - solteiro,none,2,Carro/outro,25,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,estavel,21,Crítico,Educação,2319,Minimo,Menos de 1,2,Homem - divorciado/separado,none,1,Carro/outro,33,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,6,Em dia,Carro novo,1374,none,Desempregado,4,Mulher - divorciada/separada/casada,none,3,Acordo de poupança/seguro de vida,75,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,18,Crítico,Móveis/equipamentos,3612,Minimo,7-+,3,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,37,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,48,Em dia,Carro novo,7763,Minimo,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,42,bank,for-free,1,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,18,Em dia,Móveis/equipamentos,3049,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,none,1,Acordo de poupança/seguro de vida,45,stores,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,12,Em dia,Rádio/televisão,1534,Minimo,Menos de 1,1,Homem - casado/viúvo,none,1,Imóvel,23,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Atraso passado,Carro novo,2032,Minimo,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,60,none,for-free,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,30,Em dia,Móveis/equipamentos,6350,none,7-+,4,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,31,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,estavel,18,Em dia,Móveis/equipamentos,2864,Minimo,good-to-4,2,Homem - solteiro,none,1,Imóvel,34,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Crítico,Carro novo,1255,Minimo,7-+,4,Homem - solteiro,none,4,Imóvel,61,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,24,Atraso passado,Carro novo,1333,Minimo,Desempregado,4,Homem - solteiro,none,2,Imóvel,43,none,for-free,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Crítico,Carro novo,2022,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,4,Carro/outro,37,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,1552,Minimo,4-to-7,3,Homem - solteiro,none,1,Carro/outro,32,bank,Dono,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,12,Pagamento pelo banco,Rádio/televisão,626,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,4,Imóvel,24,bank,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,48,Crítico,Carro usado,8858,none,4-to-7,2,Homem - solteiro,none,1,Desconhecido/nenhum,35,none,for-free,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Crítico,Reparos,996,none,4-to-7,4,Mulher - divorciada/separada/casada,none,4,Imóvel,23,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,6,Pagamento pelo banco,Rádio/televisão,1750,Medio,7-+,2,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,45,bank,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,48,Em dia,Rádio/televisão,6999,Minimo,4-to-7,1,Homem - casado/viúvo,Fiador,1,Imóvel,34,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,12,Crítico,Carro novo,1995,Baixo,Menos de 1,4,Homem - solteiro,none,1,Carro/outro,27,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,9,Em dia,Educação,1199,Minimo,4-to-7,4,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,67,none,Dono,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,12,Em dia,Rádio/televisão,1331,Minimo,Menos de 1,2,Homem - solteiro,none,1,Carro/outro,22,stores,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,18,Totalmente pago,Carro novo,2278,Baixo,Menos de 1,3,Mulher - divorciada/separada/casada,none,3,Carro/outro,28,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,21,Totalmente pago,Carro novo,5003,none,good-to-4,1,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,29,bank,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,24,Pagamento pelo banco,Móveis/equipamentos,3552,Minimo,4-to-7,3,Homem - solteiro,none,4,Carro/outro,27,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,18,Crítico,Móveis/equipamentos,1928,Minimo,Menos de 1,2,Homem - solteiro,none,2,Imóvel,31,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Em dia,Carro usado,2964,none,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,49,bank,for-free,1,Funcionário qualificado,2,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,24,Pagamento pelo banco,Rádio/televisão,1546,Minimo,4-to-7,4,Homem - solteiro,Fiador,4,Carro/outro,24,bank,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,6,Atraso passado,Rádio/televisão,683,Minimo,Menos de 1,2,Mulher - divorciada/separada/casada,none,1,Acordo de poupança/seguro de vida,29,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,36,Em dia,Carro novo,12389,none,good-to-4,1,Homem - solteiro,none,4,Desconhecido/nenhum,37,none,for-free,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,24,Atraso passado,Negócios,4712,none,good-to-4,4,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,37,bank,Dono,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,24,Atraso passado,Rádio/televisão,1553,Baixo,4-to-7,3,Mulher - divorciada/separada/casada,none,2,Acordo de poupança/seguro de vida,23,none,Aluguel,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,12,Em dia,Carro novo,1372,Minimo,4-to-7,2,Homem - divorciado/separado,none,3,Carro/outro,36,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Crítico,Rádio/televisão,2578,Alto,7-+,2,Homem - solteiro,none,2,Carro/outro,34,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,48,Em dia,Rádio/televisão,3979,none,4-to-7,4,Homem - solteiro,none,1,Carro/outro,41,none,Dono,2,Funcionário qualificado,2,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,48,Em dia,Rádio/televisão,6758,Minimo,good-to-4,3,Mulher - divorciada/separada/casada,none,2,Carro/outro,31,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,24,Em dia,Móveis/equipamentos,3234,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,4,Imóvel,23,none,Aluguel,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,30,Crítico,Rádio/televisão,5954,Minimo,4-to-7,3,Homem - solteiro,Co-requerente,2,Carro/outro,38,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Em dia,Carro usado,5433,none,Desempregado,2,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,26,none,Aluguel,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,15,Em dia,Negócios,806,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,22,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,9,Em dia,Rádio/televisão,1082,Minimo,7-+,4,Homem - solteiro,none,4,Carro/outro,27,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,15,Crítico,Móveis/equipamentos,2788,Minimo,4-to-7,2,Mulher - divorciada/separada/casada,Co-requerente,3,Carro/outro,24,bank,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,12,Em dia,Rádio/televisão,2930,Minimo,4-to-7,2,Mulher - divorciada/separada/casada,none,1,Imóvel,27,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Crítico,Educação,1927,none,good-to-4,3,Mulher - divorciada/separada/casada,none,2,Carro/outro,33,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,36,Crítico,Carro novo,2820,Minimo,Menos de 1,4,Homem - divorciado/separado,none,4,Carro/outro,27,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Em dia,Requalificação,937,Minimo,Menos de 1,4,Homem - casado/viúvo,none,3,Carro/outro,27,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,18,Crítico,Carro novo,1056,Minimo,7-+,3,Homem - solteiro,Fiador,3,Imóvel,30,bank,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,12,Crítico,Carro novo,3124,Minimo,Menos de 1,1,Homem - solteiro,none,3,Imóvel,49,bank,Dono,2,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,9,Em dia,Móveis/equipamentos,1388,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,2,Imóvel,26,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,36,Em dia,Reparos,2384,Minimo,Menos de 1,4,Homem - solteiro,none,1,Desconhecido/nenhum,33,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Em dia,Carro novo,2133,none,7-+,4,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,52,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,18,Em dia,Móveis/equipamentos,2039,Minimo,good-to-4,1,Mulher - divorciada/separada/casada,none,4,Imóvel,20,bank,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,9,Crítico,Carro novo,2799,Minimo,good-to-4,2,Homem - solteiro,none,2,Imóvel,36,none,Aluguel,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,12,Em dia,Móveis/equipamentos,1289,Minimo,good-to-4,4,Homem - solteiro,Fiador,1,Acordo de poupança/seguro de vida,21,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,18,Em dia,Eletrodomésticos,1217,Minimo,good-to-4,4,Homem - casado/viúvo,none,3,Imóvel,47,none,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,12,Crítico,Móveis/equipamentos,2246,Minimo,7-+,3,Homem - solteiro,none,3,Acordo de poupança/seguro de vida,60,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,12,Crítico,Rádio/televisão,385,Minimo,4-to-7,4,Mulher - divorciada/separada/casada,none,3,Imóvel,58,none,Dono,4,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,24,Atraso passado,Carro novo,1965,none,good-to-4,4,Mulher - divorciada/separada/casada,none,4,Carro/outro,42,none,Aluguel,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,21,Em dia,Negócios,1572,Alto,7-+,4,Mulher - divorciada/separada/casada,none,4,Imóvel,36,bank,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,24,Em dia,Carro novo,2718,Minimo,good-to-4,3,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,20,none,Aluguel,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,24,Pagamento pelo banco,outro,1358,none,7-+,4,Homem - solteiro,none,3,Carro/outro,40,stores,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,6,Pagamento pelo banco,Carro novo,931,Baixo,Menos de 1,1,Mulher - divorciada/separada/casada,none,1,Acordo de poupança/seguro de vida,32,stores,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,24,Em dia,Carro novo,1442,Minimo,4-to-7,4,Mulher - divorciada/separada/casada,none,4,Carro/outro,23,none,Aluguel,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,24,Totalmente pago,Negócios,4241,Minimo,good-to-4,1,Homem - solteiro,none,4,Imóvel,36,none,Dono,3,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,none,18,Crítico,Carro novo,2775,Minimo,4-to-7,2,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,31,bank,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Atraso passado,Negócios,3863,Minimo,good-to-4,1,Homem - solteiro,none,2,Desconhecido/nenhum,32,none,for-free,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,7,Em dia,Rádio/televisão,2329,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,Fiador,1,Imóvel,45,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,9,Em dia,Móveis/equipamentos,918,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,1,Acordo de poupança/seguro de vida,30,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,24,Pagamento pelo banco,Educação,1837,Minimo,4-to-7,4,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,34,bank,for-free,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,36,Em dia,Móveis/equipamentos,3349,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,2,Carro/outro,28,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,estavel,10,Em dia,Móveis/equipamentos,1275,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,2,Acordo de poupança/seguro de vida,23,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Pagamento pelo banco,Móveis/equipamentos,2828,Medio,good-to-4,4,Homem - solteiro,none,4,Imóvel,22,stores,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Crítico,Negócios,4526,Minimo,good-to-4,3,Homem - solteiro,none,2,Imóvel,74,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,36,Em dia,Rádio/televisão,2671,Baixo,good-to-4,4,Mulher - divorciada/separada/casada,Co-requerente,4,Desconhecido/nenhum,50,none,for-free,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,18,Em dia,Rádio/televisão,2051,Minimo,Menos de 1,4,Homem - solteiro,none,1,Imóvel,33,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,15,Em dia,Carro usado,1300,none,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,45,bank,for-free,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,12,Em dia,Eletrodomésticos,741,Baixo,Desempregado,4,Mulher - divorciada/separada/casada,none,3,Acordo de poupança/seguro de vida,22,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,estavel,10,Em dia,Carro novo,1240,Baixo,7-+,1,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,48,none,for-free,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,21,Em dia,Rádio/televisão,3357,Alto,Menos de 1,4,Mulher - divorciada/separada/casada,none,2,Carro/outro,29,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Pagamento pelo banco,Carro usado,3632,Minimo,good-to-4,1,Mulher - divorciada/separada/casada,Fiador,4,Carro/outro,22,bank,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Local
Ruim,none,18,Atraso passado,Móveis/equipamentos,1808,Minimo,4-to-7,4,Mulher - divorciada/separada/casada,none,1,Imóvel,22,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,48,Totalmente pago,Negócios,12204,none,good-to-4,2,Homem - solteiro,none,2,Carro/outro,48,bank,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,60,Atraso passado,Rádio/televisão,9157,none,good-to-4,2,Homem - solteiro,none,2,Desconhecido/nenhum,27,none,for-free,1,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,6,Crítico,Carro novo,3676,Minimo,good-to-4,1,Homem - solteiro,none,3,Imóvel,37,none,Aluguel,3,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,30,Em dia,Móveis/equipamentos,3441,Baixo,good-to-4,2,Mulher - divorciada/separada/casada,Co-requerente,4,Carro/outro,21,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Em dia,Carro novo,640,Minimo,good-to-4,4,Homem - divorciado/separado,none,2,Imóvel,49,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,21,Crítico,Negócios,3652,Minimo,4-to-7,2,Homem - solteiro,none,3,Acordo de poupança/seguro de vida,27,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,18,Crítico,Carro novo,1530,Minimo,good-to-4,3,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,32,bank,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,48,Em dia,Negócios,3914,none,good-to-4,4,Homem - divorciado/separado,none,2,Imóvel,38,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,12,Em dia,Móveis/equipamentos,1858,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,1,Carro/outro,22,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,18,Em dia,Rádio/televisão,2600,Minimo,good-to-4,4,Homem - solteiro,none,4,Desconhecido/nenhum,65,none,for-free,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,15,Em dia,Rádio/televisão,1979,none,7-+,4,Homem - solteiro,none,2,Carro/outro,35,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,6,Em dia,Móveis/equipamentos,2116,Minimo,good-to-4,2,Homem - solteiro,none,2,Imóvel,41,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,9,Pagamento pelo banco,Carro novo,1437,Baixo,4-to-7,2,Homem - solteiro,none,3,Desconhecido/nenhum,29,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,42,Crítico,Móveis/equipamentos,4042,Medio,good-to-4,4,Homem - solteiro,none,4,Imóvel,36,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
